"text","label","pairs_diff"
"You mean what you got was an eye opening shocker into the world of leftist propaganda, and I can see that like a good sheeple you swallowed it hook line and sinker.","1","S,.,4.53	S,S,6.29	S,CC,0.86	S,,,0.56	NP,VP,0.68	VBP,SBAR,4.24	WHNP,S,1.08	NP,VP,1.76	VBD,SBAR,3.37	VP,PP,3.17	VBD,NP,0.56	DT,@NP,0.38	NN,@NP,0.61	NN,NN,0.05	IN,NP,4.47	NP,PP,4.52	DT,NN,0.01	IN,NP,3.22	JJ,NN,5.05	NP,VP,4.75	MD,VP,4.51	VB,SBAR,2.41	IN,S,2.65	PP,@S,2.86	IN,NP,5.01	DT,@NP,4.88	JJ,NN,5.72	NP,VP,0.39	VBD,S,0.76	NP,NP,0.33	NP,NP,0.15	NP,CC,0.13	NN,NN,0.13	"
"marriage has other important functions? like what? i'm not going by what anyone has told me, i'm going by what i see  men typically marry for steady      , women typically marry because they want kids (eventually counts) or they want someone else to come home to and don't mind the side effect of kids.","1","NP,@S,0.24	VP,.,1.19	VBZ,NP,0.20	JJ,@NP,1.02	JJ,NNS,0.13	"
"The statement was made based upon historical evidence. Practices such as loyalty oaths and fire safety ordinances were common place in colonial times and could be regarded as restrictions on the bearing of arms for effective self defense. The supreme court never determined that these were unacceptable restrictions or infringements.","1","NP,@S,0.05	DT,NN,0.81	VP,.,0.10	VBD,VP,0.04	VBN,PP,0.01	VBN,PP,0.01	IN,NP,0.18	JJ,NN,0.02	"
"Do you believe in evolution? I mean i understand if you do but I would like to make some points about it.....there are also some points procing creation.","1","VP,.,0.47	VB,S,1.11	NP,VP,0.42	VB,PP,0.33	IN,NP,0.03	"
"You haven't provided any evidence the Bible is a fairy tale. But I do think you like the sound of those last two words in the previous sentence.It's God or the government (Romans 13) in the NT who dispense capital punishment. If you weren't so consumed with your illicit gay sex escapades to read the NT you would have known that.Keep screwing around and God himself just might take you and or your buddy Jazy off the earth like he did with Annanias Sapphira in the Book of Acts.","1","NP,@S,2.67	VP,.,1.83	VP,VP,2.48	VBP,RB,0.01	VBN,NP,3.14	NP,SBAR,4.48	DT,NN,0.01	NP,VP,4.69	DT,NNP,0.03	VBZ,NP,4.29	DT,@NP,0.64	NN,NN,0.03	"
"whatever 'rubber' was being exported probably ceased to be exported because of ravages of war during and after.Did you see any spike in the price of tyres, sorry 'tires' in the good old USA because of the Vietnam war ?natural rubber by the way is used mostly in big huge tyres not the size used in automobiles.Iraq was invaded to satisfy greed and ideology. American oil companies are still trying to get a preferential deal in their dealing with the Iraqi government.Now, what are the gringos and their lackeys (UK, NATO members et al) doing in Afghanistan, which has no oil, and no rubber? Are the gringos trying to protect and control the supply of heroin ? Myabe Saddam hid his WMDs (Weapons of Mass Delusion) in Kabul or nearby?","1","SBAR,@S,1.37	WHNP,S,1.03	NP,VP,4.60	``,@NP,0.04	NN,'',0.23	VBD,VP,3.27	VBG,VP,2.47	VP,S,2.01	VBN,ADVP,0.22	VBN,S,0.94	TO,VP,0.91	VB,VP,0.89	VBN,PP,1.00	IN,@PP,0.65	IN,NP,0.72	NP,NP,0.52	NP,CC,0.56	NP,X,0.58	NP,PP,0.26	IN,NP,5.61	NP,@S,5.41	VP,.,4.35	VP,PP,3.39	VBP,NP,4.08	NP,PP,3.19	DT,NN,0.24	IN,NP,3.64	NP,PP,8.56	DT,NN,0.06	IN,NP,3.32	NP,NP,3.71	NP,,,0.22	NP,PP,3.71	JJ,@NP,0.07	``,@NP,0.04	NNS,'',0.23	IN,NP,3.04	DT,@NP,4.27	JJ,@NP,6.52	JJ,NN,0.24	IN,PP,0.09	IN,NP,0.22	DT,@NP,0.92	NNP,NN,5.62	"
"The propaganda ministers must be working overtime to hit as many forums as possible. emoticonXRolleyes","1","NP,@S,1.15	DT,@NP,1.48	NN,NNS,5.19	VP,.,0.41	MD,VP,0.37	VB,VP,0.94	VP,S,1.32	VBG,ADVP,1.07	TO,VP,2.54	VP,PP,0.76	VB,NP,5.57	QP,NNS,0.12	RB,JJ,0.00	IN,ADJP,0.00	"
"Like you say, it depends on how you define best...furthermore, a destruction caused by limiting freedom takes some time. These countries haven't been around that long remember (in terms of the type of government).","1","S,.,4.28	S,S,3.60	S,:,0.06	PP,@S,0.02	IN,S,5.41	NP,VP,0.01	,,@S,1.48	NP,VP,1.20	VBZ,PP,4.09	IN,SBAR,4.67	WHADVP,S,5.48	NP,VP,5.45	VBP,ADJP,10.60	ADVP,@S,2.65	,,@S,2.36	NP,VP,1.72	NP,VP,6.11	DT,NN,4.52	VBN,PP,1.15	IN,S,2.70	VBG,NP,5.07	VBZ,NP,0.00	DT,NN,0.00	"
"What are ""women's rights""? They special too? Now think ""women's rights"" but pretend you really don't like women, assuming you need to pretend.Same thing.","1","WHNP,@SBARQ,1.12	SQ,.,0.37	VP,'',0.04	VP,NP,0.35	VBP,``,0.01	NP,NNS,1.25	NNS,POS,0.00	"
"Joe lets face it, anyone that disagrees with you on gay marriage is bigoted or a homophobe.........No one can have a different opinion..That is sad.......","1","S,.,3.44	S,S,1.39	S,:,1.07	NP,VP,1.58	VBZ,NP,2.35	NP,NP,3.23	NP,CC,2.31	NP,SBAR,3.25	NP,@S,2.21	,,@S,1.83	NP,VP,0.10	NP,SBAR,0.88	WHNP,S,0.95	VP,PP,3.16	VBZ,PP,0.66	IN,NP,0.00	IN,NP,0.86	JJ,NN,0.05	VBZ,ADJP,0.16	DT,NN,0.21	NP,VP,1.11	DT,NN,5.86	MD,VP,0.15	VB,NP,0.02	DT,@NP,0.02	JJ,NN,0.05	"
"lol.. Considering where the Dow was before Obama came into Office I think a little 270 point drop isn't going to effect anything.","1","NN,.,0.22	"
"The problem with this is that usually when someone exercises ""their right"" it many times infringes on someones elses rights.","1","NP,@S,0.48	NP,PP,1.17	DT,NN,5.84	IN,NP,0.01	VP,.,1.97	VBZ,SBAR,1.41	IN,@SBAR,1.72	WHADVP,S,2.91	ADVP,WRB,0.01	NP,VP,0.63	VBZ,NP,1.76	``,@NP,0.03	NP,SBAR,1.80	NP,'',0.70	PRP$,NN,5.89	NP,@S,1.51	NP-TMP,VP,1.39	JJ,NNS,0.00	VBZ,PP,0.81	IN,NP,0.35	NNS,@NP,0.11	NNS,NNS,1.04	"
"In typical fashion, and because because your man made science that teaches that the big bang signified the start of time, even though their was evidently no one around to record time back then, but you automatically assume that only after the so called big bang did time begin to exist.","1","PP,@S,0.97	PP,PP,1.29	PP,CC,2.42	PP,,,1.92	IN,NP,1.45	JJ,NN,5.33	RB,@PP,2.12	IN,NP,2.03	NP,VP,1.88	PRP$,NN,0.01	VBN,NP,1.29	NP,SBAR,2.62	WHNP,S,2.70	VBZ,SBAR,3.94	IN,S,3.01	NP,VP,2.02	DT,@NP,1.02	JJ,NN,0.52	VBD,NP,0.18	NP,PP,0.01	DT,NN,0.00	IN,NP,0.00	,,@S,3.40	SBAR,@S,3.47	RB,@SBAR,3.16	IN,S,4.47	S,S,2.91	S,CC,1.11	S,,,0.98	NP,VP,3.29	VP,ADVP,3.43	VP,NP,2.24	VBD,ADVP,0.23	NP,VP,2.12	DT,PRP,5.94	IN,S,0.20	TO,VP,0.10	VP,ADVP,0.13	VB,NP,0.01	NP,@S,3.71	ADVP,VP,5.13	VP,PP,0.50	VB,ADVP,0.04	IN,RB,0.05	IN,NP,4.65	NP,VP,3.77	DT,@NP,3.57	RB,@NP,1.74	VBN,@NP,1.01	JJ,NN,0.52	VBD,NP-TMP,0.00	VP,.,0.91	VB,S,0.12	TO,VP,0.07	"
"What are you referring to here?","1","WHNP,@SBARQ,0.32	SQ,.,2.54	SQ,VP,0.08	VBP,NP,0.00	VBG,PP,0.15	TO,NP,0.01	"
"It's amazing that someone would list making medical decisions for a loved one who is unable to as a benefit.","1","NP,@S,1.51	VP,.,0.70	VP,SBAR,9.83	VBZ,ADJP,8.67	IN,S,4.11	NP,VP,2.04	MD,VP,0.16	VB,S,3.39	VP,PP,4.03	VBG,NP,0.77	JJ,NNS,0.27	IN,NP,4.81	NP,SBAR,9.73	DT,@NP,6.68	VBN,CD,8.36	WHNP,S,2.48	VP,PP,4.11	VBZ,ADJP,2.26	JJ,PP,4.27	IN,NP,2.41	DT,NN,5.05	"
"Besides, until you can show where Christians are walking into crowded marketplaces detonating body attached explosives) .QUOTE ((Besides, until you can show where Christians are walking into crowded marketplaces detonating body attached explosives,))I'd like to address this if I could, although the example I'm giving is not gay related, I'm am curious to see how you would respond to me asking about how Christians who are anti abortionist, will bomb clinics and murder the Doctors who perform the procedures? My point being it does relate to the OP original point? You can't pick and choose who it's OK to kill,, and gays and lesbians are a legitimate minority.","1","ADVP,@S,0.60	,,@S,0.49	X,@S,1.00	NP,@S,1.38	VP,.,0.75	MD,VP,0.96	VB,SBAR,2.56	WHADVP,S,1.82	NP,VP,1.94	VBP,VP,1.19	VP,-RRB-,1.90	VP,NP,1.41	VBG,PP,0.21	IN,NP,0.15	JJ,NNS,0.32	NP,VP,0.35	VBG,NN,0.22	VBN,NP,0.13	"
"My bad,...I certainly wouldn't want to demean a guy gal who kills babies for a living.","1","NP,.,5.73	NP,SBAR,8.56	S,@S,5.87	,,@S,2.96	:,@S,1.07	NP,VP,1.37	ADVP,VP,9.11	VP,VP,3.02	MD,RB,0.01	VB,S,3.13	TO,VP,3.56	VB,NP,4.44	NP,SBAR,4.13	DT,@NP,0.10	NN,NN,0.24	WHNP,S,3.68	VBZ,NP,1.27	NP,PP,0.46	IN,NP,0.16	DT,NN,0.01	"
"Exactly. I'd like to know that myself. Since when has God promoted discrimination?","1","ADVP,.,0.03	"
"In his early life, Smith had a reputation for drinking too much. Whether or not this affected his thinking is a question which should to be considered when asking questions about mormon theology.","1","PP,@S,3.91	IN,NP,0.81	PRP$,@NP,0.57	JJ,NN,5.89	,,@S,3.96	NP,@S,5.33	VP,.,4.44	VP,ADVP,5.07	VBD,NP,0.13	NP,PP,0.75	DT,NN,0.01	IN,NP,0.16	RB,RB,0.02	"
"That is why most pro choicers support a time limit to abortions. But pro lifers are I are even opposed to anti conceptives. They are just religious fundamentalists.","1","NP,@S,5.03	VP,.,4.73	VBZ,SBAR,3.47	WHADVP,S,1.86	NP,VP,2.78	RBS,@NP,0.05	JJ,NNS,0.21	VP,PP,0.68	VBP,NP,0.98	DT,@NP,1.34	NN,NN,0.59	TO,NP,0.22	"
"I guess this is why Texas is knee deep in turds. emoticonXAgree","1","NP,@S,6.44	VP,.,5.80	VBP,SBAR,5.82	NP,VP,4.82	VBZ,SBAR,2.73	WHADVP,S,0.59	NP,VP,0.48	VBZ,ADJP,0.95	NN,@ADJP,1.89	JJ,PP,0.09	IN,NP,0.23	"
"Since evolution can't prove the book of Genesis (ancient history) false, and creationism does have some historical backing, they are comparable and they directly conflict.","1","S,.,4.48	S,S,4.91	S,CC,4.67	SBAR,@S,4.69	IN,S,4.13	S,S,4.72	S,CC,4.39	S,,,4.45	NP,VP,4.53	VP,VP,5.26	MD,RB,0.02	VB,S,4.59	NP,ADJP,4.74	NP,PRN,0.40	NP,PP,0.14	DT,NN,0.04	IN,NP,0.23	-LRB-,@PRN,0.68	NP,-RRB-,0.57	JJ,NN,0.06	NP,VP,0.12	VBZ,VP,0.48	VB,NP,0.74	DT,@NP,0.54	JJ,NN,0.23	,,@S,0.85	NP,VP,1.28	VBP,ADJP,0.65	NP,ADJP,0.16	RB,NN,5.09	"
"Still dumb to compare the two. Both are no good. Theft is better then murder...however a theif bragging because he didn't murder is a fool..Chris Rock actually did a funny skit on this.","1","ADJP,@FRAG,5.65	RB,JJ,5.84	S,.,0.25	TO,VP,0.30	VB,NP,0.16	DT,CD,0.00	"
"Will the gay pride movement again try to make a bug issue of out of a beauty pageant's view of gay rights? We'll see!","1","SINV,VP,1.84	MD,NP,0.15	DT,@NP,0.79	JJ,@NP,0.01	NN,NN,0.06	ADVP,@VP,3.27	VBP,S,1.69	TO,VP,1.83	VB,NP,2.64	NP,PP,1.44	DT,@NP,0.24	NN,NN,0.10	IN,FRAG,2.72	ADVP,.,0.08	IN,PP,8.03	IN,NP,2.92	NP,PP,5.47	NP,NN,4.32	DT,@NP,3.44	NN,@NP,5.64	NN,POS,0.22	IN,NP,1.77	JJ,NNS,1.30	"
"What a load of C.R.A.P... This post is IMO borderline trolling...","1","WHNP,@FRAG,0.38	WP,NP,0.17	DT,NN,0.03	PP,.,0.12	IN,NP,0.23	"
"Matthew Levi was a Jew, Trebor, as were all of the Apostles (though they later became followers of another Jew, Jesus). And since you still claim to be an Old Testament Jew, then you need to embrace your own teachings I think. Or else show me in your Tanakh where they've been done away with.","1","NP,@S,6.58	NNP,NNP,0.19	VP,.,5.63	VBD,NP,3.70	NP,SBAR,2.48	NP,,,0.33	NP,NP,0.60	NP,,,0.44	DT,NN,0.21	IN,S,2.29	VBD,NP,1.36	NP,PP,1.26	IN,NP,1.62	NP,PRN,2.07	DT,NNPS,0.22	-LRB-,@PRN,2.26	SBAR,-RRB-,4.02	IN,S,5.32	NP,@S,5.67	ADVP,VP,4.95	VBD,NP,3.94	NP,PP,0.35	IN,NP,0.00	NP,NP,0.08	NP,,,0.10	DT,NN,0.23	"
"Any evidence to support this or is it just a neat excuse not to take any action?","1","NP,.,3.80	NP,NP,2.27	DT,@NP,4.98	NN,S,0.30	TO,VP,0.22	VP,VP,0.97	VP,CC,0.00	VB,NP,0.02	VBZ,NP,0.01	NP,SBAR,3.75	RB,@NP,4.17	DT,@NP,3.40	JJ,NN,5.21	RB,VP,6.30	TO,VP,0.09	VB,NP,0.03	DT,NN,0.01	"
"It doen't matter what trimester it is in. The shear fact that you are arguing over something as irrelevant as the trimester of the pregnancy means that you already understand that a decision to have an abortion is an intent to take a life. By arguing if the baby is considered living, is just people's way of trying to justify what they already know is wrong, hoping that the excuse of ""if the baby isn't conscious of it, then it isn't that wrong."" It doesn't matter if the baby knows it or not. Even if it was conscious of it, it won't care in a second. The moral dilemma comes in that, you had the intent of killing and that is what makes abortion in any stage morally wrong!!!!The better question is, Should the government take action? because this is a wierd situation where the life is still 100  dependent of the mom and therefore a part of her body. The argument of a soul is negligable because there is no proof of the exsistence to of souls.I have no answer for you, just a plea to please keep an open mind and have compassion for both sides of the argument. It is the only way we can create progress and not hate.","1","NP,@S,2.85	VP,.,1.99	VP,VP,3.68	VBP,RB,0.24	VB,NP,0.03	NP,SBAR,0.43	WP,NN,0.23	NP,VP,0.16	VBZ,PP,0.01	"
"thanks to whites' attempt to assimilate africa, the ills you speak of have escalated ridiculously. tribal conflicts was the main drawback. AIDS, crime and poverty only started with the influence of whites trying to establish their culture in africa","1","NP,@S,1.72	NP,PP,8.13	TO,NP,2.99	NP,@NP,1.68	NNS,POS,0.03	NN,S,0.01	TO,VP,0.02	VB,NP,0.00	,,@S,1.84	NP,@S,1.33	NP,SBAR,0.40	DT,NNS,0.51	NP,VP,0.13	VBP,PP,0.02	VP,.,0.57	VBP,VP,0.56	VBN,ADVP,0.30	"
"is this what politics and leading a country comes down to? could a picture of kerry in a bunny suit (even if it was a real bunny suit) really sway voters? or is this just to amuse already established bush supporters?","1","S,@S,2.47	VBZ,NP,0.01	NP,SBAR,0.05	WHNP,S,0.04	UCP,VP,0.00	NP,CC,5.11	VBG,NP,0.03	DT,NN,0.04	VP,.,0.54	VP,PP,0.06	VBZ,PRT,5.66	"
"The liberal left is not mainstream, Trebor. Just check the last election on that one.","1","S,.,2.50	S,FRAG,2.62	S,,,2.56	NP,VP,2.20	DT,@NP,0.49	JJ,NN,0.03	VP,ADJP,4.07	VBZ,RB,5.90	"
"Indeed where would one find better information. Certainly not from biblical accounts emoticonXDonno But I am not about to turn this thread into an platform for where you are trying to go.","1","WHADVP,@SBARQ,3.30	ADVP,WRB,0.04	SQ,.,2.29	SQ,VP,0.88	MD,NP,0.01	VB,NP,0.25	JJR,NN,7.45	"
"Yo shush yo mouth!Doncha knows that tha bible is fo believahs!Yas gotta believah furst!That's right, if you read it without believing first, you'll see the flaws and contradictions. You need to magic indwelling spirit of Suspension of Disbelief to fully understand what they bibles about.","1","S,@S,1.59	NP,VP,5.14	VP,SBAR,4.76	VP,,,3.85	VBP,NP,3.97	NP,SBAR,0.70	FW,FW,0.00	VBZ,SBAR,2.82	IN,S,1.94	NP,VP,0.79	NN,NN,0.00	VBZ,NP,0.77	NP,SBAR,3.35	NN,NN,0.00	VBD,NP,1.03	NP,@NP,1.26	NN,@NP,0.19	NN,NN,0.00	POS,NN,5.89	IN,S,0.76	NP,VP,0.41	VP,PP,0.61	VBP,NP,0.03	IN,S,1.80	VBG,ADVP,0.08	,,@S,2.27	NP,@S,2.62	VP,.,2.25	MD,VP,2.41	VB,NP,2.88	DT,@NP,3.41	NP,NNS,6.74	NNS,CC,5.54	"
"Yeah, right. I'm not going to take that statistic seriously. It doesn't agree with the study done by the Violence Policy Center.","1","INTJ,@FRAG,2.17	,,@FRAG,4.58	ADVP,.,5.90	"
"Second, in this very thread Arch has deliberately tied the two as one. There are at least three posts here where he has just done that. You'll notice right off the bat, despite a distinct clarification of YEC, and NOT Christanity as a whole, that Arch deliberately takes the discussion on YEC as a discussion on Christanity. Notice that the only person who argued the thread from a Christanity as a whole view was Arch. The rest of us deliberately stated otherwise.","1","ADVP,@S,3.33	,,@S,3.00	PP,@S,1.67	IN,NP,0.08	ADJP,NN,0.01	NP,RB,0.00	NP,@S,1.06	VP,.,0.49	VP,VP,0.49	VBZ,ADVP,0.14	VBN,NP,0.75	NP,PP,0.11	DT,CD,0.00	IN,NP,0.01	"
"In effect you are asking ""To those of you who don't believe in Adam and Eve   what does Adam and Eve mean?"" which is, a nonsense question to put forward.You might be trying to invoke debate from Christians who take a non literal Biblical approach, if this is what you desire, you have not put the question properly.","1","PP,@S,1.03	IN,NP,0.00	NP,VP,1.67	VBP,VP,1.76	VP,S,2.46	VBG,``,0.06	S,SBARQ,0.37	TO,NP,0.54	NP,SBAR,0.99	NP,PP,0.32	IN,NP,0.01	WHNP,S,1.58	VP,VP,0.56	VBP,RB,0.02	VB,PP,0.07	IN,NP,0.04	NP,NNP,0.00	NNP,CC,0.03	WHNP,@SBARQ,2.21	SBARQ,'',2.21	SQ,.,0.67	SQ,VP,5.31	VBZ,NP,0.03	NP,NNP,0.00	NNP,CC,0.03	"
"As far as the abortion issue goes there is no God that supports the murder of the innocent unborn in the womb........","1","SBAR,@S,3.42	PP,@S,0.50	IN,ADVP,0.07	RB,IN,0.01	NP,VP,0.02	DT,@NP,0.08	NN,NN,0.23	NP,@S,3.42	VP,:,4.14	VBZ,NP,3.13	NP,SBAR,0.46	DT,NNP,5.95	WHNP,S,1.54	VBZ,NP,2.16	NP,PP,2.24	DT,NN,5.68	IN,NP,0.59	NP,PP,0.92	DT,@NP,1.22	JJ,NN,4.53	IN,NP,0.19	DT,NN,0.22	"
"George W. Bush is very anti choice and pro death penalty. He loves to pull the executioner's switch. See next post of Bush's mockery of Karla Faye Tucker.","1","NP,@S,4.70	NNP,@NP,0.11	NNP,NNP,0.15	VP,.,4.02	VBZ,NP,2.77	NP,NP,3.65	NP,CC,0.93	RB,@NP,0.48	JJ,NN,0.20	JJ,@NP,2.11	NN,NN,0.20	"
"If I may chime in, George W. Bush was not responsible for 9 11. As I have stated on one of the other threads, Bill Clinton,et. al. did not do a rat's (explicitive deleted) to improve intelligence sharing between Law enforcement and intelligence. Does Able Danger ring a bell? emoticonXConfused emoticonXConfused","1","SBAR,@S,3.37	IN,S,0.18	NP,VP,0.36	MD,VP,0.07	VB,PP,0.23	,,@S,4.46	NP,@S,4.13	NNP,@NP,0.11	NNP,NNP,0.15	VP,.,3.66	VP,ADJP,2.49	VBD,RB,5.89	JJ,PP,3.44	IN,NP,0.06	CD,CD,0.01	"
"What's the difference between humans and chimps?","1","WHNP,@SBARQ,0.00	SQ,.,0.16	VBZ,NP,0.17	NP,PP,0.07	DT,NN,0.01	IN,NP,0.10	NP,NNS,0.22	NNS,CC,0.07	"
"You want Jesus? Then read John 3 36 because it applies to people like you who deny Christ.","1","NP,@S,1.19	VP,.,0.87	VBP,NP,0.10	"
"The reason his sentiments confirm the worst fears of creationists isn't because Lewontin alone has those sentiments, it's because creationists can clearly see those sentiments in the NY Times editorial board, CNN, ABC, Dan Rather, Handgun Control, The Sierra Club   the list is almost endless. Miller continues","1","S,@S,4.34	NP,VP,2.02	NP,SBAR,6.33	DT,NN,0.03	NP,VP,6.72	PRP$,NNS,0.03	VBP,NP,7.22	NP,PP,6.67	DT,@NP,5.26	JJS,NNS,3.78	IN,NP,0.23	VP,SBAR,5.22	VBZ,RB,0.03	IN,S,0.79	NP,@S,0.15	ADVP,VP,0.47	VBZ,NP,0.04	DT,NNS,0.03	,,@S,0.33	NP,@S,0.30	VP,.,0.28	VBZ,SBAR,0.01	IN,S,0.46	NP,VP,1.07	MD,VP,0.87	ADVP,@VP,2.58	VP,SBAR,10.32	VP,PP,2.98	VB,NP,0.02	DT,NNS,0.03	IN,NP,6.32	NP,NP,6.97	NP,,,6.40	NP,NP,6.93	NP,,,5.96	NP,NP,4.06	NP,,,4.25	NP,NP,3.58	NP,,,2.39	NP,NP,2.26	NP,,,1.78	DT,@NP,1.91	NNP,@NP,2.03	NNP,@NP,0.75	NN,NN,0.44	NNP,NNP,0.39	NNP,NNP,0.00	DT,@NP,0.17	NNP,NNP,0.21	NP,VP,2.81	DT,NN,4.11	VBZ,ADJP,1.33	RB,JJ,5.30	"
"We haven't been talking about marketing techniques at all...just whether prayer ever works or not.","1","NP,@S,3.00	VP,.,1.96	VP,VP,2.72	VBP,RB,0.01	VBN,VP,2.61	VP,SBAR,1.45	VP,ADVP,0.27	VP,:,0.09	VP,PP,0.07	VBG,PP,0.32	IN,NP,0.17	NN,NNS,0.10	IN,NP,0.00	SBAR,RB,5.45	SBAR,CC,0.34	IN,S,2.34	NP,@S,0.46	ADVP,VP,0.05	"
"I do. Buying into banks with tax dollars bolsters cash flow without printing new money. UK just bought 60 plus billion dollars worth of stock in three UK banks. We need to do the same...without assuming control of the banks.But why should I worry? Our saviour Obama will solve all of our problems when he ""spreads the wealth around"".","1","NP,@S,0.17	VP,.,0.01	"
"I know what happens when you have no argument. Besides, you said you were ignoring me. Does that make you a liar? To hell with you, oh spawn of the devil, to burn for eternity.","1","NP,@S,0.73	VP,.,0.40	VBP,SBAR,0.31	WHNP,S,0.39	VBZ,SBAR,0.28	WHADVP,S,0.04	NP,VP,0.53	VBP,NP,0.47	DT,NN,5.79	"
"Have you read my ""signature"" lately? By asking God for forgiveness of your sins, asking him to come into your heart and govern your life, and following His commandments, you don't have to go to hell. Everyone is a sinner...it's whether or not you ask God for FORGIVENESS and decide to CHANGE that gets you into heaven. Yes, gays go to hell. They sin and do not change their sinful ways or ask for forgiveness.","1","VP,.,0.04	VBP,S,0.15	NP,VP,0.08	VP,ADVP,0.77	VB,NP,0.61	PRP$,@NP,1.37	``,@NP,0.77	NN,'',0.32	"
"Hey, does this mean you've found a definition for 'life' that you like yet? I'm still waiting...","1","FRAG,@SINV,3.41	,,@SINV,4.51	SINV,.,2.35	VP,SBAR,4.49	VBZ,S,1.16	NP,VP,0.67	VB,SBAR,7.78	NP,VP,1.64	VBP,VP,1.40	VBN,NP,1.22	NP,PP,0.10	DT,NN,0.01	IN,NP,0.41	``,@NP,0.23	NN,'',5.91	IN,S,1.24	NP,VP,0.38	VBP,ADVP,0.01	"
"Oh, so now it's a fetus? In your other posts it was a ""baby"" CUNx.","1","INTJ,@S,0.35	,,@S,0.22	ADVP,@S,0.32	RB,RB,0.00	NP,@S,0.72	VP,.,0.40	VBZ,NP,0.44	DT,NN,0.21	"
